id,joint_position,ball_loc
163,[ 1.9276789  3.2196355  2.5974984  0.3424191  0.7929644 -0.8627831 -0.3490881],[ 1.128317 -0.020587  0.404383]
164,[ 1.936704   3.2196773  2.5974357  0.3424111  0.792939  -0.8628154 -0.3490825],[ 1.126827 -0.019966  0.404321]
165,[ 1.9395976  3.21957    2.5974378  0.342387   0.7929383 -0.8628024 -0.3490911],[ 1.126458 -0.019831  0.404337]
166,[ 1.9425882  3.2196825  2.5974209  0.3424539  0.7929636 -0.8627657 -0.3490797],[ 1.126133 -0.019698  0.404338]
167,[ 1.9516971  3.2196389  2.5973918  0.3424451  0.792945  -0.8628169 -0.3490288],[ 1.124647 -0.019134  0.404314]
168,[ 1.9547248  3.2196749  2.5973756  0.342402   0.7929805 -0.862809  -0.3490997],[ 1.124304 -0.019017  0.404329]
169,[ 1.9576666  3.2196968  2.5973728  0.3424754  0.7929526 -0.8628015 -0.3490436],[ 1.123905 -0.018863  0.404312]
170,[ 1.9670876  3.2196639  2.5974409  0.3424648  0.7929345 -0.8627534 -0.3490646],[ 1.12237  -0.018299  0.404261]
171,[ 1.9700683  3.219672   2.597424   0.3424434  0.7929435 -0.8627704 -0.3490995],[ 1.122041 -0.018171  0.404293]
172,[ 1.9823052  3.2196212  2.5974703  0.342434   0.7929884 -0.8627861 -0.3491106],[ 1.120081 -0.017484  0.404235]
173,[ 1.985416   3.2196816  2.5974696  0.3424191  0.7929491 -0.8628016 -0.3490453],[ 1.119707 -0.01737   0.404228]
174,[ 1.9970312  3.2196684  2.5973863  0.3424475  0.792902  -0.8627522 -0.3490213],[ 1.117924 -0.016787  0.404235]
175,[ 1.9998166  3.2196558  2.5974481  0.3424056  0.7929503 -0.862806  -0.3490685],[ 1.117547 -0.016647  0.404234]
176,[ 2.0112119  3.219656   2.5974533  0.3424112  0.7929004 -0.8628219 -0.3490444],[ 1.115766 -0.016087  0.404153]
177,[ 2.0141291  3.2196735  2.5973983  0.3424165  0.792972  -0.8628352 -0.349037 ],[ 1.115415 -0.015983  0.40416 ]
178,[ 2.0260825  3.2196231  2.597404   0.3424116  0.7929855 -0.8627589 -0.3490524],[ 1.11356  -0.015433  0.404137]
179,[ 2.0291831  3.2196656  2.5974255  0.3424274  0.7929285 -0.8628155 -0.3490081],[ 1.113161 -0.015299  0.404088]
180,[ 2.0418348  3.2196279  2.5974538  0.3424029  0.7929221 -0.8627884 -0.3490506],[ 1.111194 -0.014737  0.404063]
181,[ 2.0572359  3.219616   2.5974429  0.3424607  0.7929494 -0.8627884 -0.3491053],[ 1.10888  -0.014117  0.404024]
182,[ 2.0602438  3.2197075  2.5975089  0.3424438  0.7929756 -0.8627504 -0.349031 ],[ 1.108456 -0.014008  0.40407 ]
183,[ 2.0720608  3.2195986  2.597444   0.3424529  0.792918  -0.8627697 -0.3490464],[ 1.106538 -0.013549  0.404046]
184,[ 2.0749328  3.2196751  2.5974226  0.3424424  0.792943  -0.8627671 -0.3490774],[ 1.106213 -0.013479  0.404039]
185,[ 2.0867145  3.219626   2.5974014  0.3424298  0.7929307 -0.8628266 -0.3490639],[ 1.104334 -0.013027  0.404003]
186,[ 2.0897238  3.2196277  2.5974686  0.3424397  0.7929455 -0.8628058 -0.3490921],[ 1.10391  -0.01291   0.403996]
187,[ 2.1018698  3.2196115  2.5974347  0.3423861  0.792955  -0.8628418 -0.3491648],[ 1.101992 -0.012495  0.403955]
188,[ 2.1049287  3.2196446  2.5974271  0.342411   0.7929248 -0.8627844 -0.3490964],[ 1.101632 -0.012417  0.403924]
189,[ 2.1171951  3.2196649  2.5974879  0.3424287  0.7929646 -0.8627952 -0.3490732],[ 1.099611 -0.01199   0.4039  ]
190,[ 2.1202509  3.2195929  2.597465   0.3424309  0.7929325 -0.8627907 -0.3490475],[ 1.099231 -0.011932  0.403915]
191,[ 2.1321995  3.2196575  2.5974049  0.3424215  0.7929361 -0.862755  -0.3490543],[ 1.097293 -0.011555  0.403888]
192,[ 2.1351528  3.2196823  2.597439   0.3424562  0.7930049 -0.8627842 -0.3490989],[ 1.096906 -0.011509  0.403899]
193,[ 2.1471729  3.2196029  2.5974016  0.3424538  0.7928864 -0.8628062 -0.3490489],[ 1.094993 -0.01116   0.403873]
194,[ 2.1502495  3.2196358  2.5974896  0.3424092  0.7930233 -0.8628548 -0.3490629],[ 1.094639 -0.011087  0.403858]
195,[ 2.162302   3.2196212  2.597435   0.3424499  0.7929421 -0.8627908 -0.3490188],[ 1.09271  -0.010812  0.403842]
196,[ 2.1652999  3.2196305  2.5974104  0.3423943  0.7929685 -0.8627894 -0.3490641],[ 1.092277 -0.010757  0.403837]
197,[ 2.1775186  3.2196866  2.5974536  0.3424315  0.7929105 -0.8627811 -0.349093 ],[ 1.09036  -0.010487  0.403838]
198,[ 2.1805055  3.2195843  2.597439   0.3424568  0.7929197 -0.8627832 -0.349079 ],[ 1.089935 -0.010433  0.403828]
199,[ 2.1834605  3.2196584  2.5974324  0.3424567  0.7929526 -0.8628157 -0.3490559],[ 1.089584 -0.010361  0.403762]
200,[ 2.192503   3.2196317  2.5974262  0.3424252  0.7929708 -0.8628164 -0.3490797],[ 1.088006 -0.010151  0.403738]
201,[ 2.1954253  3.2196112  2.5974445  0.342447   0.792905  -0.8627955 -0.349059 ],[ 1.087638 -0.010097  0.403699]
202,[ 2.1984725  3.2196746  2.5974107  0.342431   0.7929531 -0.8627997 -0.3490644],[ 1.087229 -0.010079  0.403739]
