id,joint_position,ball_loc
175,[ 1.7034446  2.8160644  2.839275   3.4655101  1.1910115  0.0397294 -0.1617735],[ 1.259189 -0.352976  0.362202]
176,[ 1.7157572  2.8160425  2.8392686  3.4655313  1.1909746  0.0397095 -0.1618468],[ 1.261539 -0.35054   0.362204]
177,[ 1.7187744  2.8160589  2.8392934  3.4655494  1.1910351  0.0396987 -0.1618704],[ 1.261979 -0.350179  0.363244]
178,[ 1.7308871  2.816058   2.8392702  3.4655215  1.1909813  0.0396333 -0.161878 ],[ 1.264308 -0.347704  0.363217]
179,[ 1.7338104  2.8160901  2.8392197  3.4655785  1.1910646  0.0396933 -0.1618354],[ 1.26478  -0.347084  0.362194]
180,[ 1.7454788  2.8160663  2.8392633  3.4654905  1.191002   0.0397145 -0.1618611],[ 1.267011 -0.344786  0.363204]
181,[ 1.7485211  2.8160758  2.8392235  3.4655332  1.1909982  0.0396705 -0.1618236],[ 1.267437 -0.344153  0.362149]
182,[ 1.7602029  2.8160875  2.8392299  3.4654486  1.1910289  0.0396751 -0.1617675],[ 1.269572 -0.341733  0.362149]
183,[ 1.7630969  2.8161109  2.8392366  3.4655096  1.1910189  0.0397313 -0.1618475],[ 1.270021 -0.341241  0.362142]
184,[ 1.7749589  2.8160918  2.8392855  3.4655614  1.1910089  0.0396393 -0.1618292],[ 1.272185 -0.338747  0.362136]
185,[ 1.7781167  2.8160809  2.8391975  3.4654703  1.1909921  0.0396948 -0.1617999],[ 1.272593 -0.338326  0.363061]
186,[ 1.7901306  2.8160778  2.8392104  3.4654925  1.1910039  0.0396222 -0.1618453],[ 1.274665 -0.335746  0.363029]
187,[ 1.7930718  2.8160785  2.8392016  3.4655363  1.1910559  0.0396762 -0.1618461],[ 1.275094 -0.335247  0.36305 ]
188,[ 1.8051433  2.816032   2.839281   3.4654948  1.1910169  0.0397241 -0.1618261],[ 1.277201 -0.332651  0.363034]
189,[ 1.8081077  2.8160448  2.8392414  3.4654867  1.1910295  0.0396362 -0.1618081],[ 1.277611 -0.33213   0.363038]
190,[ 1.819793   2.8160038  2.8392569  3.4655194  1.1910039  0.0397167 -0.1618224],[ 1.279557 -0.329603  0.36303 ]
191,[ 1.822713   2.8160768  2.8392714  3.4654803  1.1910387  0.0396916 -0.1618094],[ 1.279957 -0.329094  0.363049]
192,[ 1.8346201  2.8160296  2.8392392  3.4654677  1.1910031  0.0397442 -0.1618615],[ 1.281964 -0.326498  0.363023]
193,[ 1.8376037  2.8160732  2.8392011  3.4655032  1.1910214  0.0397176 -0.1617972],[ 1.28237  -0.325999  0.363051]
194,[ 1.8498797  2.8161095  2.8392469  3.465491   1.1910075  0.0396741 -0.1618236],[ 1.284358 -0.32316   0.362047]
195,[ 1.8530255  2.8160546  2.8392202  3.4655194  1.1910161  0.039681  -0.1618159],[ 1.284766 -0.322606  0.362055]
196,[ 1.8561196  2.8161171  2.8392521  3.4655931  1.1909842  0.0397221 -0.1617954],[ 1.285168 -0.322039  0.362061]
