id,joint_position,ball_loc
196,[11.5053711  2.8706429  2.5568779  1.4087801  0.3244846  0.4890652 -0.1583537],[ 1.192617 -0.34143   0.439605]
197,[11.4934356  2.8706722  2.5568047  1.4087257  0.3244834  0.4891023 -0.158279 ],[ 1.190268 -0.342849  0.439629]
198,[11.4903969  2.8706839  2.5568471  1.4087276  0.3245022  0.4891155 -0.1582953],[ 1.189782 -0.343111  0.439637]
199,[11.4784457  2.8706636  2.5568001  1.4086065  0.324418   0.4891379 -0.1582735],[ 1.187366 -0.344523  0.439683]
200,[11.4753815  2.8706706  2.5568197  1.4087181  0.3245115  0.4890757 -0.1583023],[ 1.18691  -0.344809  0.439652]
201,[11.4635862  2.870671   2.5568306  1.4087229  0.3244523  0.4891354 -0.158368 ],[ 1.184549 -0.346093  0.439724]
202,[11.4607004  2.8707006  2.5568647  1.4086571  0.3245226  0.4891336 -0.1583071],[ 1.184072 -0.346359  0.439728]
203,[11.4577551  2.8706377  2.5568082  1.4087029  0.3244477  0.4891071 -0.1582774],[ 1.183568 -0.346683  0.439686]
204,[11.4489992  2.8706582  2.5568507  1.4086943  0.3244965  0.489145  -0.1583145],[ 1.181654 -0.347667  0.439761]
205,[11.4460247  2.8706768  2.5568023  1.4086752  0.3244503  0.4891661 -0.1582813],[ 1.181156 -0.347966  0.439723]
206,[11.4341484  2.8707178  2.5568466  1.4086695  0.324463   0.4891416 -0.1582865],[ 1.178772 -0.349175  0.43978 ]
207,[11.4311816  2.87063    2.5568402  1.4087057  0.3244651  0.48912   -0.1583074],[ 1.178259 -0.349475  0.439745]
208,[11.4188495  2.8707008  2.5568764  1.4087114  0.3245157  0.489105  -0.1583335],[ 1.175763 -0.350714  0.439798]
209,[11.4157139  2.8706667  2.5567758  1.4087563  0.324489   0.4891077 -0.1583344],[ 1.175219 -0.351013  0.439763]
210,[11.4034073  2.8706558  2.5568197  1.4086866  0.3245037  0.489073  -0.1583256],[ 1.172615 -0.352216  0.439853]
