id,joint_position,ball_loc
196,[-2.0085483  2.0113142  2.1442289  0.0551375  1.375639   0.2544203 -0.4656389],[ 0.773164 -0.380573  0.136854]
197,[-2.0088937  2.013041   2.1445699  0.0525072  1.3756078  0.2547653 -0.4656021],[ 0.773688 -0.379881  0.136457]
198,[-2.0106425  2.0200918  2.1459916  0.0437402  1.3747898  0.2558866 -0.4656112],[ 0.774829 -0.376962  0.13674 ]
199,[-2.0142815  2.0281625  2.1467152  0.0364474  1.3723738  0.2571419 -0.4655994],[ 0.775544 -0.374332  0.137677]
200,[-2.0174809  2.0349824  2.1472151  0.0320689  1.3723652  0.2594604 -0.4656185],[ 0.775592 -0.372065  0.138794]
201,[-2.0181611  2.0367265  2.1476972  0.0317049  1.3723545  0.2596142 -0.4655561],[ 0.775548 -0.371661  0.13901 ]
202,[-2.0204055  2.0448749  2.1496038  0.0294201  1.3732632  0.2596652 -0.4655967],[ 0.775172 -0.369782  0.1409  ]
203,[-2.0207961  2.0470982  2.1503365  0.029034   1.3733703  0.2596744 -0.4655975],[ 0.775207 -0.369425  0.141069]
204,[-2.0210574  2.0491345  2.1509447  0.0284548  1.3736771  0.2596749 -0.4655592],[ 0.775268 -0.369079  0.14131 ]
205,[-2.0210397  2.055526   2.1530759  0.0240969  1.3745855  0.2590999 -0.4655939],[ 0.775879 -0.367319  0.142024]
206,[-2.0209589  2.0578341  2.1540036  0.0225323  1.3749362  0.2585096 -0.4656194],[ 0.776091 -0.366872  0.142066]
207,[-2.0202491  2.0665469  2.1580727  0.0164748  1.376052   0.2561167 -0.465588 ],[ 0.777149 -0.364396  0.142448]
