id,joint_position,m6
109,[-2.8718004  1.1560424  1.5055068  0.2808229  0.449255   0.1761415 -0.5523571],[0.891429 0.447735 0.063543]
110,[-2.8721936  1.151934   1.4886937  0.2601134  0.4490323  0.1553653 -0.552285 ],[0.888377 0.448257 0.067962]
111,[-2.8723123  1.1510337  1.4849498  0.2557262  0.4486804  0.1514725 -0.5524122],[0.887846 0.448315 0.068718]
112,[-2.872721   1.1479762  1.470009   0.2391573  0.448513   0.1362724 -0.5523322],[0.88493  0.448678 0.072873]
113,[-2.8727956  1.1472495  1.4662789  0.2352301  0.4485073  0.1321872 -0.552354 ],[0.883693 0.44884  0.074823]
114,[-2.8733182  1.1450675  1.4516722  0.2194597  0.4486442  0.1162711 -0.5523291],[0.881251 0.449261 0.07872 ]
115,[-2.8733971  1.1443122  1.4476273  0.2145465  0.4483371  0.1121491 -0.5522873],[0.880717 0.449333 0.07964 ]
116,[-2.8750198  1.1360267  1.4108888  0.1732387  0.4479623  0.0757528 -0.5523301],[0.87453  0.450653 0.089656]
117,[-2.8760631  1.1317428  1.3934503  0.153649   0.4479213  0.0566469 -0.5522861],[0.871388 0.451287 0.094447]
118,[-2.8765061  1.1294864  1.3840035  0.1430284  0.4480619  0.0463204 -0.5522917],[0.869546 0.451712 0.097233]
119,[-2.8768029  1.1279834  1.3777419  0.1363456  0.4479976  0.0397837 -0.5523636],[0.868669 0.451838 0.098514]
120,[-2.8773599  1.1243404  1.362969   0.1200694  0.4479384  0.0234267 -0.5523002],[0.866172 0.452256 0.102659]
121,[-2.8775349  1.123503   1.3597517  0.1168268  0.4477401  0.0202322 -0.5523443],[0.865733 0.452215 0.103313]
122,[-2.8779209  1.1205199  1.3476887  0.1053924  0.4478583  0.0078394 -0.5522569],[0.863354 0.452378 0.10683 ]
123,[-2.8787558  1.1171477  1.3342571  0.0947588  0.4479403 -0.007418  -0.5523061],[0.860244 0.452603 0.111314]
124,[-2.8788435  1.1164153  1.3316058  0.0927455  0.4478841 -0.0104704 -0.5523469],[0.859756 0.452631 0.111986]
125,[-2.8793242  1.1150649  1.3264941  0.0889681  0.4477658 -0.0165006 -0.5522769],[0.858242 0.452805 0.11401 ]
126,[-2.8795226  1.1144908  1.3241363  0.0874789  0.4478736 -0.0193088 -0.5523022],[0.857719 0.452856 0.11462 ]
127,[-2.8797731  1.1138595  1.3220435  0.0864541  0.4478765 -0.0216314 -0.5522503],[0.857189 0.452939 0.115293]
128,[-2.8799229  1.1132739  1.3197577  0.0851856  0.4480143 -0.0243814 -0.552309 ],[0.85669  0.453006 0.11591 ]
129,[-2.8807485  1.1120303  1.3134079  0.0819043  0.4480009 -0.0358426 -0.552322 ],[0.854257 0.453463 0.11895 ]
130,[-2.8812337  1.1116126  1.3104107  0.079804   0.4478855 -0.0412636 -0.5522955],[0.853146 0.453711 0.12077 ]
131,[-2.8818958  1.1110633  1.3052557  0.0752199  0.4479012 -0.0483925 -0.552277 ],[0.852114 0.454043 0.122565]
132,[-2.883183   1.109402   1.2956572  0.0648641  0.4476948 -0.0585053 -0.5521354],[0.850555 0.45467  0.12599 ]
133,[-2.8835719  1.1088126  1.2926346  0.0620029  0.4473968 -0.0608491 -0.551897 ],[0.850189 0.454783 0.126729]
134,[-2.8838379  1.1080955  1.2894119  0.0591745  0.4471445 -0.0633064 -0.551782 ],[0.849826 0.454912 0.127483]
135,[-2.8854802  1.1050685  1.2766204  0.0500362  0.4448671 -0.0722097 -0.5512166],[0.847531 0.455374 0.131399]
136,[-2.8857896  1.1041969  1.2736033  0.0482301  0.4444523 -0.0745524 -0.5512221],[0.84702  0.455436 0.132259]
137,[-2.8866792  1.1024535  1.267812   0.0453122  0.4432049 -0.0785469 -0.5510152],[0.845448 0.455675 0.134403]
138,[-2.8872106  1.1016734  1.2652979  0.0446984  0.4426031 -0.0803484 -0.5509378],[0.844871 0.455769 0.135115]
139,[-2.88761    1.1008475  1.2629259  0.0441089  0.4419007 -0.0822788 -0.5508755],[0.844353 0.455797 0.13577 ]
140,[-2.8894231  1.0968688  1.2543582  0.0418785  0.4392424 -0.0900706 -0.5496891],[0.841784 0.456134 0.138226]
141,[-2.8898437  1.0958484  1.2525097  0.0416902  0.4386039 -0.0915452 -0.5491731],[0.841369 0.456229 0.138513]
142,[-2.8919861  1.0913928  1.2451795  0.0404058  0.4379611 -0.0999669 -0.5453103],[0.838709 0.457068 0.13986 ]
143,[-2.8939002  1.0885451  1.2399594  0.0398461  0.4368439 -0.107954  -0.5424854],[0.836707 0.457825 0.141288]
144,[-2.8941619  1.0882552  1.2389878  0.0397982  0.4367337 -0.1090438 -0.5421112],[0.836383 0.457951 0.141611]
145,[-2.8953292  1.087746   1.2355177  0.0398373  0.436727  -0.1121891 -0.5407904],[0.835009 0.458554 0.143411]
146,[-2.8965313  1.087889   1.2324048  0.0399187  0.436419  -0.1144319 -0.5386639],[0.833811 0.459105 0.145756]
147,[-2.8973138  1.0883601  1.2314466  0.0398668  0.4360027 -0.1173649 -0.534649 ],[0.833337 0.45953  0.147219]
148,[-2.8980823  1.0881465  1.2315388  0.0396955  0.4332662 -0.1196089 -0.5316013],[0.833404 0.459575 0.147186]
149,[-2.8986635  1.086819   1.232294   0.0396715  0.4304304 -0.1201401 -0.5303926],[0.833881 0.459523 0.145909]
150,[-2.8986754  1.0862086  1.2323253  0.0394347  0.4296074 -0.1200945 -0.5302638],[0.833997 0.459472 0.145566]
151,[-2.8988419  1.0854057  1.2324405  0.0395776  0.4283543 -0.1201078 -0.5298958],[0.834143 0.459309 0.144593]
152,[-2.8989084  1.0849841  1.2327654  0.0398016  0.4281831 -0.1201142 -0.5298461],[0.834165 0.459297 0.144284]
153,[-2.8990195  1.0846847  1.2331842  0.0399152  0.4282403 -0.1201689 -0.5296297],[0.834181 0.459318 0.143961]
154,[-2.8988442  1.0845206  1.2337002  0.0402894  0.4285135 -0.1202966 -0.5293815],[0.834184 0.459365 0.143634]
155,[-2.8988874  1.0841163  1.2353702  0.0396332  0.428144  -0.1202232 -0.5284334],[0.834767 0.459451 0.14228 ]
156,[-2.8989761  1.0840934  1.2357959  0.0394337  0.4280906 -0.1202557 -0.5281031],[0.834917 0.459466 0.1421  ]
157,[-2.8989201  1.0841811  1.2361153  0.0389488  0.4267879 -0.1202059 -0.5246871],[0.835311 0.45934  0.141903]
158,[-2.8991582  1.0825961  1.2323023  0.0357568  0.4247637 -0.1202993 -0.5179942],[0.835129 0.458967 0.142575]
159,[-2.8993883  1.0775569  1.2227068  0.0278559  0.4214306 -0.1202436 -0.5108693],[0.834469 0.45852  0.142543]
160,[-2.8994513  1.0730537  1.2152076  0.0221903  0.4211173 -0.1202699 -0.5009385],[0.83361  0.458268 0.142091]
161,[-2.8995068  1.0724567  1.214449   0.0214528  0.4211864 -0.120261  -0.4985364],[0.833519 0.458251 0.141993]
162,[-2.899518   1.0701945  1.2109766  0.0164311  0.4210668 -0.1201223 -0.4889397],[0.833555 0.458015 0.141371]
163,[-2.8992798  1.067879   1.2055169  0.0077901  0.4199619 -0.1187188 -0.4755665],[0.834193 0.457729 0.140647]
164,[-2.8991635  1.067757   1.2049801  0.0065927  0.4198203 -0.1181802 -0.4725007],[0.834294 0.457702 0.140668]
165,[-2.8991861  1.0677589  1.204669   0.0057614  0.4198394 -0.1177143 -0.4704712],[0.834407 0.45773  0.140697]
166,[-2.8991868e+00  1.0683807e+00  1.2043308e+00  2.0009726e-03  4.1986275e-01 -1.1482196e-01 -4.6081379e-01],[0.835115 0.457767 0.140779]
167,[-2.8991470e+00  1.0684856e+00  1.2037668e+00 -1.2402446e-03  4.1963768e-01 -1.1231438e-01 -4.5666280e-01],[0.836115 0.457819 0.140427]
168,[-2.8989253  1.0686591  1.2032872 -0.0049077  0.4194341 -0.1095318 -0.4522703],[0.836796 0.45788  0.139939]
169,[-2.8984275  1.0685676  1.2025107 -0.0155925  0.4198122 -0.1046156 -0.4421659],[0.839185 0.458043 0.137962]
170,[-2.8982978  1.0685523  1.2025442 -0.0179981  0.4198818 -0.1037272 -0.4400266],[0.839617 0.458043 0.137571]
171,[-2.8976123  1.0681308  1.2022249 -0.0292645  0.4203935 -0.0997668 -0.4332483],[0.842318 0.457784 0.135132]
172,[-2.8964167  1.0678466  1.2014095 -0.0419366  0.4225788 -0.0951785 -0.4262049],[0.845199 0.457216 0.132691]
173,[-2.8958955  1.0679191  1.2014763 -0.0445072  0.4232483 -0.094042  -0.4248612],[0.845725 0.457058 0.132337]
174,[-2.8921378  1.0681365  1.2007729 -0.0577977  0.425601  -0.0884094 -0.4183579],[0.849113 0.455666 0.130365]
175,[-2.8882077  1.068476   1.2000121 -0.0666453  0.4264441 -0.0806883 -0.4122034],[0.851996 0.453773 0.12883 ]
